Brend:,Qurğunun növü:,Seriya:,Form-faktor:,SİM kartının növü:,"Ekranın diaqonalı, düym:",Operativ yaddaşın həcmi:,"Ekranın qətnaməsi, Mp:",Yaddaşın əsas həcmi:,Ekran texnologiyası:,Prosessor:,Prosessorun nüvələr sayı:,Daxili yaddaş həcmi:,Yaddaş kartlarının dəstəklənməsi:,Yaddaş kartları üçün yuvalar:,"Əsas kamera, Mp:","Əsas kamera dəsti, Mp:","Ön kamera, Mp:",Wi-Fi standartı:,Bluetooth standartı:,Qoşulma portu:,Simsiz enerji toplama:,Korpusun qorunması:,"Akkumulyatorun həcmi, mA/saat:",Rabitə standartları:,Digər funksiyalar və xüsusiyyətlər:,Bazarın başlanğıc ili:,İstehsalçı ölkə:,Brendin ölkəsi:,Komplektasiya:,Rəng:,Korpusun materialı:,"Hündürlüyü, mm:","Çəki, q:","Qalınlığı, mm:","Eni, mm:",Price
Nokia,Mobil telefon,Nokia 225,Monoblok,Nano-SIM,2.4,1 Gb qədər,320 x 240,64 Mb,TN,,1.0,1 Gb qədər,Bəli,microSD,5 Mp qədər,0.3,,,5.0,MicroUSB,Xeyr,,3000 qədər,3GLTE,Fənər,2020.0,Vyetnam,Finlandiya,SmartfonAdapterZəmanət kartıTəlimat,Qara,Plastik,124.7,90.0,13.7,51,107.89
KGTEL,Mobil telefon,Kgtel 1100,Monoblok,,,,,,,,,,Bəli,,,,,,,,Xeyr,,3000 qədər,,,,Çin,Çin,SmartfonTəlimat,Qara,Plastik,,,,,29.75
SQ,Mobil telefon,,Monoblok,,2.4,,,,,,,,Bəli,microSD,5 Mp qədər,,,,,,Xeyr,,6000 və yuxarı,,Fənər,,Çin,Çin,,Qara,,,,,,74.25
Itel,Mobil telefon,Itel IT5026 DS,Monoblok,,2.4,,240 x 320,,,,,,Bəli,microSD,5 Mp qədər,0.3,,,2.1,MicroUSB,Xeyr,,3000 qədər,2G,Fənər,,Çin,Çin,SmartfonZəmanət kartıTəlimat,Göy,Plastik,131.0,85.0,12.0,55,43.12
Nokia,Mobil telefon,Nokia 150,Monoblok,Mini-SIM,2.4,1 Gb qədər,320 x 240,4 Mb,TFT,,,1 Gb qədər,Bəli,microSD,5 Mp qədər,0.3,,,,MicroUSB,Xeyr,,3000 qədər,2G,Fənər,2020.0,Çin,Finlandiya,SmartfonAdapterZəmanət kartıTəlimat,Qırmızı,Plastik,132.0,90.0,15.0,51,85.0
INOI,Mobil telefon,,Monoblok,Mini-SIM,1.8,,160 x 128,32 Mb,TFT,,,1 Gb qədər,,,,,,,2.1,MicroUSB,Xeyr,,3000 qədər,2G,Fənər,2018.0,Çin,Rusiya,,Qara,Plastik,113.5,48.0,13.2,49.6,32.0
Nokia,Mobil telefon,Nokia 110,Monoblok,Mini-SIM,1.77,,160 x 120,4 Mb,TFT,,,1 Gb qədər,Bəli,microSD,5 Mp qədər,0.3,,,,MicroUSB,Xeyr,,3000 qədər,2G,Fənər,2019.0,Vyetnam,,,Qara,Plastik,115.2,75.0,14.3,49.9,70.0
Itel,Mobil telefon,Itel IT5250 DS,Monoblok,Mini-SIM,2.4,1 Gb qədər,320 x 240,32 Mb,TFT,,,1 Gb qədər,Bəli,microSD,5 Mp qədər,1.3,5 Mp qədər,Xeyr,2.1,MicroUSB,Xeyr,,3000 qədər,2G,Fənər,,Çin,Çin,,Mavi,Plastik,125.0,190.0,11.3,54,49.0
Itel,Mobil telefon,Itel IT5022,Monoblok,Mini-SIM,2.4,,320 x 240,4 Mb,TFT,,,1 Gb qədər,Bəli,microSD,5 Mp qədər,,,,,MicroUSB,,,3000 qədər,2G,,,Çin,Çin,,Göy,Plastik,119.0,83.0,14.2,51,39.0
INOI,Mobil telefon,,Monoblok,Mini-SIM,1.8,,160 x 128,,,,,,Bəli,,,,,,2.1,MicroUSB,Xeyr,,3000 qədər,2G,Fənər,2018.0,Çin,Rusiya,Smartfon,Qara,Plastik,104.0,67.0,12.2,46.2,39.9
Nokia,Mobil telefon,Nokia 200,Monoblok,Micro-SIM,2.4,,320 x 240,10 Mb,TFT,,,1 Gb qədər,Bəli,microSD,5 Mp qədər,2,,,2.1,,Xeyr,Toza davamlı,3000 qədər,2G,,,,Finlandiya,,Qara,Plastik,115.4,,14.0,61.1,122.0
INOI,Mobil telefon,,Monoblok,Mini-SIM,1.8,,160 x 128,,TN,,,,Bəli,microSD,,,,,4.0,MicroUSB,Xeyr,,3000 qədər,2G,Fənər,2020.0,Çin,Rusiya,,Qara,Plastik,115.0,79.0,14.0,53,46.55
Itel,Mobil telefon,Itel IT5626 DS,Monoblok,,2.8,,240 x 320,,,,,,Bəli,microSD,5 Mp qədər,0.3,,,2.1,MicroUSB,Xeyr,,3000 qədər,2G,Fənər,,Çin,Çin,SmartfonZəmanət kartıTəlimat,Yaşıl,Plastik,140.0,85.0,13.0,59,90.16
Kgtel,Mobil telefon,Kgtel K5606,Monoblok,Mini-SIM,1.77,1 Gb qədər,128 x 160,32 Mb,TFT,,,1 Gb qədər,Bəli,microSD,5 Mp qədər,0.8,,,,MicroUSB,Xeyr,,3000 qədər,2G,,2020.0,Çin,Çin,SmartfonAkkumulyatorAdapterTəlimatZəmanət kartı,Göy,Plastik,,,,,37.0
Vertex,Mobil telefon,,Monoblok,,1.77,,160 x 128,,,,,,Bəli,microSD,,,,,2.0,,,,,2G,Fənər,,Çin,,,Qara,Plastik,,,,,45.0
Itel,Mobil telefon,Itel IT5026 DS,Monoblok,,2.4,,240 x 320,,,,,,Bəli,microSD,5 Mp qədər,0.3,,,2.1,MicroUSB,Xeyr,,3000 qədər,2G,Fənər,,Çin,Çin,SmartfonZəmanət kartıTəlimat,Qara,Plastik,131.0,85.0,12.0,55,44.0
F+,Mobil telefon,,Monoblok,Micro-SIM,2.4,,320 x 240,,,,,,Bəli,microSD,,,,,,MicroUSB,Xeyr,,3000 qədər,2G,Fənər,,Çin,Çin,,Qara,Plastik,126.5,85.0,12.8,53.5,59.0
Nobby,Mobil telefon,Nobby 310,Monoblok,Micro-SIM,2.4,1 Gb qədər,240 x 320,32 Mb,TFT,,,1 Gb qədər,Bəli,microSD,5 Mp qədər,0.8,,Bəli,2.1,MicroUSB,,,3000 qədər,3G,3G,,Çin,Çin,,Qara,Plastik,133.0,65.0,13.9,56.5,66.75
SQ,Mobil telefon,SQ 5310,Monoblok,,,,,,,,,,Bəli,,,,,,,,Xeyr,,,,,,Çin,Çin,SmartfonTəlimat,Ağ,Plastik,,,,,89.0
SQ,Mobil telefon,SQ 2019s,Monoblok,,,,,,,,,,,,,,,,,,Xeyr,,6000 və yuxarı,,Fənər,2019.0,Çin,Çin,Smartfon,Qara,,,,,,85.0
SQ,Mobil telefon,SQ SQ1801,Açılan,Micro-SIM,,,,,,,,,,,,,,,,,Xeyr,,,,,,Çin,Çin,,Qara,,,,,,36.4
Nokia,Mobil telefon,Nokia 5310,Monoblok,Mini-SIM,2.4,1 Gb qədər,320х240,,TN,,1.0,1 Gb qədər,Bəli,microSD,5 Mp qədər,0.3,,,3.0,MicroUSB,Xeyr,Toza davamlı,3000 qədər,2G,Fənər,2020.0,Vyetnam,Finlandiya,SmartfonAdapterTəlimatZəmanət kartı,AğQırmızı,Plastik,123.7,88.0,13.1,52.4,109.0
SQ,Mobil telefon,SQ 92,Monoblok,Mini-SIM,1.77,,160 x 128,16 Mb,LCD,,,1 Gb qədər,Bəli,,5 Mp qədər,1.3,,,,,Xeyr,,6000 və yuxarı,2G,,,Çin,Çin,SmartfonTəlimat,Qara,Plastik,118.0,90.0,18,54.0,59.0
Nokia,Mobil telefon,Nokia 225,Monoblok,Nano-SIM,2.4,1 Gb qədər,320 x 240,64 Mb,TN,,1.0,1 Gb qədər,Bəli,microSD,5 Mp qədər,0.3,,,5.0,MicroUSB,Xeyr,,3000 qədər,3GLTE,Fənər,2020.0,Vyetnam,Finlandiya,SmartfonAdapterZəmanət kartıTəlimat,Göy,Plastik,124.7,90.0,13.7,51.0,109.0
SQ,Mobil telefon,SQ 7700S,Monoblok,,,,,,TFT,,,,Bəli,,,,,,,,Xeyr,,6000 və yuxarı,,,,Çin,Çin,SmartfonTəlimat,Qara,Plastik,,,,,59.0
Itel,Mobil telefon,Itel IT2163,Monoblok,Mini-SIM,1.77,1 Gb qədər,160 x 128,32 Mb,TFT,,,1 Gb qədər,Bəli,microSD,,,,Xeyr,2.1,MicroUSB,Xeyr,,3000 qədər,2G,Fənər,,Çin,Çin,,Qara,Plastik,114.0,75.7,14.3,49.0,29.0
F+,Mobil telefon,F+ B,Monoblok,Mini-SIM,2.4,1 Gb qədər,320 x 240,32 Mb,TFT,,,1 Gb qədər,Bəli,microSD,5 Mp qədər,0.1,,,,MicroUSB,Xeyr,,3000 qədər,2G,Fənər,,Çin,Rusiya,SmartfonBatareyaAdapterZəmanət kartıTəlimat,Boz,PlastikMetal,126.0,95.0,11.4,53.0,78.21
Nokia,Mobil telefon,Nokia 230,Monoblok,Mini-SIM,2.8,1 Gb qədər,320 x 240,32 Mb,TFT,,1.0,1 Gb qədər,Bəli,microSD,5 Mp qədər,2,5 Mp qədər,,3.0,MicroUSB,Xeyr,,3000 qədər,2G,Fənər,2015.0,Vyetnam,,,Ağ,AlüminiumPlastik,124.6,92.0,10.9,53.4,139.0
Kgtel,Mobil telefon,Kgtel kt110,Monoblok,Micro-SIM,,,,,,,,,Bəli,microSD,,,,,5.0,,,Zərbəyə davamlı,3000 qədər,,,,BƏƏ,,SmartfonTəlimat,Qara,,114.4,,18.5,50.2,59.5
Hope,Mobil telefon,Hope K35,Monoblok,,,,,,,,,,Bəli,,,,,,,,Xeyr,,3000 qədər,,,,Çin,Çin,SmartfonTəlimat,Qara,Plastik,,,,,65.0
Kgtel,Mobil telefon,Kgtel KT5625,Monoblok,Mini-SIM,1.77,1 Gb qədər,128 x 160,32 Mb,TFT,,,1 Gb qədər,Bəli,microSD,5 Mp qədər,3,,,,MicroUSB,Xeyr,,3000 qədər,2G,,,Çin,Çin,SmartfonAkkumulyatorAdapterTəlimatZəmanət kartı,Qızılı,Plastik,,,,,47.0
Nokia,Mobil telefon,Nokia 110,Monoblok,Nano-SIM,1.8,1 Gb qədər,320 x 240,128 Mb,TFT,Unisoc T107,,1 Gb qədər,Bəli,microSD,5 Mp qədər,0.8,,,,MicroUSB,Xeyr,,3000 qədər,LTE3G2G,Fənər,2021.0,Çin,Finlandiya,SmartfonAdapterZəmanət kartıTəlimat,Qara,Plastik,121.0,85.0,14.5,50.0,96.59
Nokia,Mobil telefon,Nokia 210,Monoblok,Mini-SIM,2.4,,320 x 240,16 Mb,TFT,,,1 Gb qədər,Bəli,microSD,5 Mp qədər,0.3,,,3.0,MicroUSB,Xeyr,,3000 qədər,2G,Fənər,2019.0,Çin,,,Qara,Plastik,120.8,82.0,13.8,53.5,89.88
Kgtel,Mobil telefon,Kgtel KG2000,Monoblok,Micro-SIM,,,,,,,,,Bəli,,,,,,,,,Zərbəyə davamlı,3000 qədər,,,,BƏƏ,,SmartfonTəlimat,Qara,,,,,,66.5
Nokia,Mobil telefon,Nokia 105,Monoblok,SIM,1.77,1 Gb qədər,160 x 128,4 Mb,TFT,,,1 Gb qədər,Xeyr,,,,,,,MicroUSB,Xeyr,Toza davamlı,3000 qədər,2G,Fənər,2019.0,Çin,Finlandiya,Təlimat,Qara,Plastik,111.95,73.5,14.4,49.45,96.99
Nobby,Mobil telefon,Nobby 210,Monoblok,Micro-SIM,2.4,1 Gb qədər,240 x 320,32 Mb,TFT,,,1 Gb qədər,Bəli,microSD,5 Mp qədər,0.3,,Bəli,2.1,MicroUSB,,,3000 qədər,3G,3G,,Çin,Çin,,Qara,Plastik,126.7,61.0,13.7,53.5,60.52
KGTEL,Mobil telefon,Kgtel 1202,Monoblok,,,,,,,,,,Bəli,,,,,,,,Xeyr,,3000 qədər,,,,Çin,Çin,SmartfonTəlimat,Qara,Plastik,107.8,66.0,14.3,45.5,39.0
Fly,Mobil telefon,F+ F256,Monoblok,,2.4,,,,TN,,,,Bəli,microSDHC,5 Mp qədər,0.3,,,2.1,MicroUSB,Xeyr,,3000 qədər,2G,,,Çin,Böyük Britaniya,SmartfonZəmanət kartıTəlimat,Qara,Plastik,125.8,75.0,12.5,53.0,58.8
SQ,Mobil telefon,SQ 3310s,Monoblok,,,,,,QVGA,,,,,,,,,,,,,,3000 qədər,,Fənər,,Çin,Çin,Smartfon,Ağ,Metal,,,,,79.0
Itel,Mobil telefon,,Monoblok,Mini-SIM,1.77,,160 x 128,4 Mb,TFT,,,1 Gb qədər,Bəli,microSD,5 Mp qədər,0.8,,,,MicroUSB,Xeyr,,3000 qədər,2G,Fənər,,Çin,Çin,,Qara,Plastik,117.0,,16,50.0,42.0
Kgtel,Mobil telefon,Kgtel KG103,Monoblok,Mini-SIM,1.4,1 Gb qədər,128 x 160,4 Mb,TFT,,,1 Gb qədər,Bəli,microSD,5 Mp qədər,2,,,,MicroUSB,Xeyr,,3000 qədər,2G3G,,,Çin,Çin,SmartfonAkkumulyatorAdapterTəlimatZəmanət kartı,Qara,Plastik,107.0,,15,45.0,40.0
F+,Mobil telefon,F+ S,Monoblok,Mini-SIM,2.8,,320 x 240,32 Mb,TFT,,,1 Gb qədər,Bəli,microSD,5 Mp qədər,0.3,,,2.1,MicroUSB,Xeyr,,3000 qədər,2G,Fənər,,Çin,,,Boz,Plastik,134.5,117.0,9.5,57.0,58.7
Kgtel,Mobil telefon,,Monoblok,,2.8,,,,,MediaTek MT6261D,,,,,,,,,,,,,3000 qədər,,Fənər,,Çin,,,Qara,,137.2,,14,57.8,55.0
KGTEL,Mobil telefon,Kgtel 105,Monoblok,,1.8,,128 x 160,,,,,,Bəli,,,,,,,,Xeyr,,3000 qədər,,,,Çin,Çin,SmartfonTəlimat,Qara,Plastik,,,,,35.0
Nobby,Mobil telefon,Nobby 230,Monoblok,Micro-SIM,2.4,1 Gb qədər,240 x 320,512 Mb,TFT,,,1 Gb qədər,Bəli,microSD,5 Mp qədər,0.3,,Bəli,2.1,MicroUSB,,,3000 qədər,3G,3G,,Çin,Çin,,Qara,Plastik,124.5,,13,51.0,132.61
Kgtel,Mobil telefon,Kgtel KT5607,Monoblok,Mini-SIM,1.77,1 Gb qədər,128 x 160,32 Mb,TFT,,,1 Gb qədər,Bəli,microSD,,,,,,MicroUSB,Xeyr,,3000 qədər,2G,,,Çin,Çin,SmartfonAkkumulyatorAdapterTəlimatZəmanət kartı,Qızılı,Plastik,,,,,70.0
Kgtel,Mobil telefon,Kgtel K5606,Monoblok,Mini-SIM,1.77,1 Gb qədər,128 x 160,32 Mb,TFT,,,1 Gb qədər,Bəli,microSD,5 Mp qədər,0.8,,,,MicroUSB,Xeyr,,3000 qədər,2G,,2020.0,Çin,Çin,SmartfonAkkumulyatorAdapterTəlimatZəmanət kartı,Qızılı,Plastik,,,,,37.0
SQ,Mobil telefon,SQ 9800S,Monoblok,,,,,,,,,,,,,,,,,,Xeyr,,6000 və yuxarı,,Fənər,,Çin,Çin,Smartfon,Qara,,,,,,65.0
Alcatel,Mobil telefon,Alcatel 2019G,Monoblok,Micro-SIM,2.4,,320 x 240,,TN,Spreadtrum SC6531F,1.0,,Bəli,microSD,5 Mp qədər,2,,Xeyr,2.1,MicroUSB,Xeyr,,3000 qədər,2G,Fənər,2019.0,Çin,Fransa,AdapterTəlimat,Boz,Plastik,116.8,80.0,12.5,58.5,57.3
Alcatel,Mobil telefon,Alcatel 2053D,Açılan,Micro-SIM,2.4,1 Gb qədər,320 x 240,4 Mb,,Spreadtrum SC6531E,1.0,1 Gb qədər,Bəli,microSD,5 Mp qədər,0.3,,,2.1,MicroUSB,Xeyr,,3000 qədər,2G,,,Çin,Fransa,SmartfonTəlimatZəmanət kartıAdapter,Qara,Plastik,103.0,89.0,16.9,50.4,58.4
Olmio,Mobil telefon,Olmio F,Açılan,Mini-SIM,2.8,,,32 Mb,TN,,,1 Gb qədər,Bəli,microSD,5 Mp qədər,,,Xeyr,4.0,MicroUSB,Xeyr,,3000 qədər,,,2018.0,Çin,Rusiya,Zəmanət kartıTəlimat,Qara,Plastik,108.0,128.0,14,57.0,140.0
Nokia,Mobil telefon,Nokia 8000,Monoblok,Nano-SIM,2.8,1 Gb qədər,320 x 240,4 Gb,TFT,Qualcomm Snapdragon 210,4.0,4 Gb,Bəli,microSD,5 Mp qədər,2,,Bəli,4.0,MicroUSB,Xeyr,,3000 qədər,LTE3G2G,Fənər,,Çin,Finlandiya,SmartfonAdapterZəmanət kartıTəlimat,Qızılı,Plastik,132.2,110.0,12.4,56.5,235.2
SQ,Mobil telefon,SQ 7700,Monoblok,,,,,,,,,,Bəli,,5 Mp qədər,1.3,,,,,Xeyr,,6000 və yuxarı,,,,Çin,Çin,SmartfonTəlimat,Qara,Plastik,,,,,75.0
Nokia,Mobil telefon,Nokia 2720,Açılan,Nano-SIM,2.8,1 Gb qədər,320 x 240,4 Gb,TFT,,2.0,4 Gb,Bəli,microSDmicroSD,5 Mp qədər,2,,Bəli,4.1,MicroUSB,,,3000 qədər,2G3GLTE,Fənər,2019.0,Vyetnam,,,Qara,Plastik,192.7,118.0,11.6,54.5,225.0
Nokia,Mobil telefon,Nokia 130,Monoblok,Mini-SIM,1.8,,160 x 128,8 Mb,TFT,,1.0,1 Gb qədər,Bəli,microSD,5 Mp qədər,0.3,,Xeyr,3.0,MicroUSB,Xeyr,,3000 qədər,2G,Fənər,2014.0,,,,Qara,Plastik,106.0,67.9,13.9,45.5,79.0
Nokia,Mobil telefon,Nokia 5310,Monoblok,Mini-SIM,2.4,1 Gb qədər,320 x 240,16 Mb,TN,,1.0,1 Gb qədər,Bəli,microSD,5 Mp qədər,0.3,,Xeyr,3.0,MicroUSB,Xeyr,,3000 qədər,2G,Fənər,2020.0,Vyetnam,,,AğQırmızı,Plastik,123.7,88.0,13.1,52.4,139.0
Itel,Mobil telefon,Itel IT5250,Monoblok,Mini-SIM,2.4,64 Mb,320 x 240,64 Mb,TFT,,,1 Gb qədər,Bəli,microSD,5 Mp qədər,0.8,,,2.1,MicroUSB,Xeyr,,3000 qədər,2G,Fənər,,Çin,Çin,,Göy,Plastik,125.0,96.0,11.3,54.0,54.9
Nokia,Mobil telefon,Nokia 6300,Monoblok,Nano-SIM,2.4,,320 x 240,4 Gb,TN,,1.0,4 Gb,Bəli,microSD,5 Mp qədər,0.3,,,4.0,MicroUSB,Xeyr,,3000 qədər,2G3GLTE,Fənər,2020.0,Vyetnam,Finlandiya,SmartfonAdapterZəmanət kartıTəlimat,Firuzəyi,Plastik,131.4,105.0,13.7,53.0,165.0
Samsung,Mobil telefon,Samsung SM-B350E Duos,Monoblok,Mini-SIM,2.4,1 Gb qədər,320 x 240,128 Mb,TFT,,,1 Gb qədər,Bəli,microSD,5 Mp qədər,2,,,2.1,MicroUSB,Xeyr,,3000 qədər,2G,,2015.0,Çin,Cənubi Koreya,SmartfonAkkumulyatorAdapterQulaqlıq,Qara,Plastik,117.5,65.0,11.9,51.3,69.12
Jinga,Mobil telefon,,Monoblok,Mini-SIM,1.77,,160 x 128,32 Mb,TFT,,,1 Gb qədər,Bəli,microSD,,,,,,MicroUSB,Xeyr,Toza davamlı,3000 qədər,2G,,,Çin,Çin,,Qara,Plastik,113.0,41.0,12.2,46.0,59.0
BQ,Mobil telefon,BQ One Power,Monoblok,Mini-SIM,1.77,1 Gb qədər,160 x 128,32 Mb,,,,1 Gb qədər,Bəli,microSD,5 Mp qədər,0.8,,,2.1,MicroUSB,Xeyr,,3000 qədər,2G,Fənər,,Çin,Rusiya,SmartfonAkkumulyatorZəmanət kartıTəlimat,Qara,Plastik,117.5,100.0,15.4,50.25,39.0
Hope,Mobil telefon,Hope SQ,Monoblok,Mini-SIM,2.4,,320 x 240,16 Mb,LCD,,,1 Gb qədər,Bəli,microSD,5 Mp qədər,1.3,,,,MicroUSB,Xeyr,Zərbəyə davamlı,3000-3999,2G,Fənər,,Çin,Çin,SmartfonAkkumulyatorAdapterAntennaZəmanət kartıTəlimat,Qara,Plastik,140.0,150.0,27,64.0,89.0
Fly,Mobil telefon,F+ Flip 2,Açılan,Mini-SIM,2.4,,240 x 320,,TFT,,,,Bəli,,5 Mp qədər,0.3,,,3.0,,Xeyr,,3000 qədər,2G,,,Çin,Böyük Britaniya,SmartfonZəmanət kartıTəlimat,Qırmızı,Plastik,106.3,100.0,15.2,51.5,85.5
Hope,Mobil telefon,Hope S66,Monoblok,Mini-SIM,,,,,,,,,Bəli,microSD,5 Mp qədər,,,,,,Xeyr,,3000 qədər,2G,Fənər,,Çin,Çin,Təlimat,Qara,Plastik,,110.0,,,68.0
Nokia,Mobil telefon,,Monoblok,Nano-SIM,2.4,64 Mb,320 x 240,128 Mb,,Unisoc T117,1.0,1 Gb qədər,Bəli,microSD,5 Mp qədər,0.3,,,5.0,MicroUSB,,,3000 qədər,2G3GLTE,Fənər,2020.0,,,TəlimatAkkumulyatorAdapter,Qara,,124.7,90.1,13.7,51.0,135.0
Nokia,Mobil telefon,,Açılan,Mini-SIM,1.8,,160 x 128,11 Mb,TFT,,1.0,1 Gb qədər,,,,,,,,,,,3000 qədər,2G,,,Çin,Finlandiya,,QaraGöy,Plastik,88.0,78.0,16,44.0,125.0
SQ,Mobil telefon,,Monoblok,SIM,2.4,,320 x 240,,LCD,,,,Bəli,microSD,5 Mp qədər,1.3,,,,MicroUSB,,,6000 və yuxarı,2G,FənərPower Bank,,Çin,Çin,Zəmanət kartıTəlimatSmartfonKabel,Qara,Plastik,140.0,150.0,27,64.0,58.4
Nokia,Mobil telefon,Nokia 8110,Slayder,Nano-SIMMicro-SIM,2.45,1 Gb qədər,320 x 240,4 Gb,QVGA,,2.0,4 Gb,Bəli,microSDmicroSD,5 Mp qədər,2,,Bəli,4.1,MicroUSB,Xeyr,,3000 qədər,3GLTE2G,,2018.0,Çin,,,Sarı,Plastik,133.45,117.0,14.9,49.3,149.0
Nokia,Mobil telefon,Nokia 150,Monoblok,Mini-SIM,2.4,,320 x 240,,TFT,,,,Bəli,microSD,5 Mp qədər,0.3,,,3.0,MicroUSB,Xeyr,,3000 qədər,2G,,2020.0,Vyetnam,,,Yaşıl,Plastik,132.0,91.0,15,50.5,84.0
Nokia,Mobil telefon,Nokia 230,Monoblok,Mini-SIM,2.8,1 Gb qədər,320 x 240,32 Mb,TFT,,1.0,1 Gb qədər,Bəli,microSD,5 Mp qədər,2,5 Mp qədər,Xeyr,3.0,MicroUSB,Xeyr,,3000 qədər,2G,Fənər,2015.0,Vyetnam,,,Ağ,AlüminiumPlastik,124.6,92.0,10.9,53.4,129.0
F+,Mobil telefon,F+ B,Monoblok,Mini-SIM,2.4,1 Gb qədər,320 x 240,32 Mb,TFT,,,1 Gb qədər,Bəli,microSD,5 Mp qədər,0.1,,,,MicroUSB,Xeyr,,3000 qədər,2G,Fənər,,Çin,Rusiya,SmartfonBatareyaAdapterTəlimat,Gümüşü,PlastikMetal,126.0,95.0,11.4,53.0,83.0
Samsung,Mobil telefon,Samsung SM-B360E Duos,Monoblok,Mini-SIM,2.4,64 Mb,320 x 240,,TFT,,,,Bəli,microSD,5 Mp qədər,3.15,,,3.0,,Xeyr,,3000 qədər,2G,,2015.0,Çin,Cənubi Koreya,SmartfonAkkumulyatorAdapterQulaqlıq,Qara,Plastik,117.3,83.0,11.4,49.5,76.7
F+,Mobil telefon,F+ B,Monoblok,SIM,2.4,1 Gb qədər,320 x 240,32 Mb,TFT,,,1 Gb qədər,Bəli,microSD,5 Mp qədər,0.1,,,3.0,MicroUSB,Xeyr,Toza davamlı,3000 qədər,2G,Fənər,2020.0,Çin,Rusiya,Təlimat,Boz,PlastikMetal,126.0,95.0,11.4,53.0,44.99
UleFone,Mobil telefon,Ulefone Armor Mini 2,Monoblok,Mini-SIM,2.4,1 Gb qədər,320 x 240,32 Mb,TFT,MediaTek MT6261D,1.0,1 Gb qədər,Bəli,microSD,5 Mp qədər,0.3,,,2.4,MicroUSB,Xeyr,Suya davamlıToza davamlı,3000 qədər,2G,,2021.0,Çin,Çin,SmartfonAdapterZəmanət kartıTəlimat,Boz,Plastik,138.0,158.0,16.6,62.5,89.77
KGTEL,Mobil telefon,Kgtel 395s,Monoblok,,,,,,,,,,Bəli,,,,,,,,Xeyr,,3000 qədər,,,,Çin,Çin,SmartfonTəlimat,Qara,,,,,,55.0
KGTEL,Mobil telefon,Kgtel 5212,Monoblok,,,,,,,,,,Bəli,,,,,,,,Xeyr,,3000 qədər,,,,Çin,Çin,SmartfonTəlimat,Qara,Plastik,,,,,55.0
Nokia,Mobil telefon,Nokia 6300 DS,Monoblok,Nano-SIM,2.4,4 Gb,320 x 240,512 Mb,TFT,,4.0,1 Gb qədər,Bəli,microSD,5 Mp qədər,,,Bəli,4.0,MicroUSB,Xeyr,Toza davamlı,3000 qədər,2G3GLTE,Fənər,2020.0,Çin,Finlandiya,SmartfonTəlimatAdapter,Ağ,Plastik,131.4,104.7,13.7,53.0,165.0
Itel,Mobil telefon,Itel IT5626,Monoblok,,2.8,,320 x 240,64 Mb,TFT,,,1 Gb qədər,Bəli,microSD,5 Mp qədər,,,,2.1,MicroUSB,Xeyr,,3000 qədər,2G,Fənər,,Çin,Çin,SmartfonTəlimatAdapter,Qara,Plastik,140.0,85.0,13,59.0,60.0
INOI,Mobil telefon,,Monoblok,,1.8,1 Gb qədər,128 x 160,,,SC6553,,,Bəli,microSD,,,,,2.1,MicroUSB,Xeyr,,3000 qədər,2G,,,Çin,Rusiya,,Qara,Plastik,113.5,48.0,13.2,49.6,34.99
Nokia,Mobil telefon,Nokia 216,Monoblok,Mini-SIM,2.4,,320 x 240,16 Mb,TFT,,,1 Gb qədər,Bəli,microSD,5 Mp qədər,0.3,5 Mp qədər,,3.0,MicroUSB,Xeyr,,3000 qədər,2G,Fənər,2016.0,Çin,,,Mavi,Plastik,118.0,83.0,13.5,50.2,89.0
Nokia,Mobil telefon,Nokia 111,Monoblok,Mini-SIM,1.77,,160 x 120,4 Mb,TFT,,,1 Gb qədər,Bəli,microSD,5 Mp qədər,0.3,,,,MicroUSB,Xeyr,,3000 qədər,2G,Fənər,2019.0,Çin,,,Göy,Plastik,115.2,75.0,14.3,49.9,59.0
Itel,Mobil telefon,Itel IT2160,Monoblok,Mini-SIM,1.77,1 Gb qədər,160 x 128,4 Mb,TFT,,,1 Gb qədər,Bəli,microSD,5 Mp qədər,1.3,,Xeyr,3.0,MicroUSB,Xeyr,,3000 qədər,2G,Fənər,2019.0,Çin,Çin,,Qara,Plastik,112.0,164.0,14.3,48.0,39.0
F+,Mobil telefon,F+ F,Monoblok,Mini-SIM,1.77,,160 x 128,32 Mb,TN,,,1 Gb qədər,Bəli,microSD,,,,,2.1,MicroUSB,Xeyr,,3000 qədər,2G,Fənər,,Çin,,SmartfonAdapter,Qara,Plastik,113.5,62.0,12.3,,29.9
Philips,Mobil telefon,Philips Xenium,Monoblok,SIM,2.4,,320 x 240,,TFT,,,,Bəli,microSD,5 Mp qədər,0.3,,,2.1,MicroUSB,Xeyr,,3000 qədər,2G,Fənər,,Çin,Niderland,TəlimatAkkumulyatorAdapterSmartfon,Qırmızı,,120.0,100.0,14,51.0,79.0
Geecoo,Mobil telefon,,,Nano-SIMMicro-SIM,2.4,1 Gb qədər,320 x 240,,IPS,,1.0,,Bəli,microSD,5 Mp qədər,,,,5.0,,Xeyr,,3000 qədər,2G,Fənər,2019.0,Çin,Çin,,Bənövşəyi,,,,,,79.0
Geecoo,Mobil telefon,,Monoblok,Nano-SIMMicro-SIM,2.4,1 Gb qədər,640 x 360,256 Mb,IPS,,,1 Gb qədər,,,5 Mp qədər,,,,,,Xeyr,,3000 qədər,,Fənər,,Çin,Çin,,Göy,,,,,,78.4
