Brend:,Qurğunun növü:,Seriya:,Form-faktor:,SİM kartının növü:,"Ekranın diaqonalı, düym:",Operativ yaddaşın həcmi:,"Ekranın qətnaməsi, Mp:",Yaddaşın əsas həcmi:,Ekran texnologiyası:,Prosessor:,Prosessorun nüvələr sayı:,Daxili yaddaş həcmi:,Yaddaş kartlarının dəstəklənməsi:,Yaddaş kartları üçün yuvalar:,"Əsas kamera, Mp:","Əsas kamera dəsti, Mp:","Ön kamera, Mp:",Wi-Fi standartı:,Bluetooth standartı:,Qoşulma portu:,Simsiz enerji toplama:,Korpusun qorunması:,"Akkumulyatorun həcmi, mA/saat:",Rabitə standartları:,Digər funksiyalar və xüsusiyyətlər:,Bazarın başlanğıc ili:,İstehsalçı ölkə:,Brendin ölkəsi:,Komplektasiya:,Rəng:,Korpusun materialı:,"Hündürlüyü, mm:","Çəki, q:","Qalınlığı, mm:","Eni, mm:",Price
Geecoo,Mobil telefon,Geecoo Mini 2,Monoblok,Nano-SIMMicro-SIM,1.54,1 Gb qədər,240 x 240,32 Mb,IPS,,1.0,1 Gb qədər,Bəli,microSD,,,,,2.0,MicroUSB,Xeyr,,3000 qədər,2G,Fənər,2019.0,Çin,Çin,TəlimatKabel,Qara,,113.0,70.8,5.6,47.9,89.0
Samsung,Mobil telefon,Samsung GT-E1207,Monoblok,Mini-SIM,1.52,,128 x 128,,TFT,,,,,,,,,,,,Xeyr,,3000 qədər,2G,,,Çin,Cənubi Koreya,SmartfonAkkumulyatorAdapterQulaqlıq,Qara,Plastik,108.0,66.0,13.5,45,49.0
Itel,Mobil telefon,Itel IT2163,Monoblok,Mini-SIM,1.77,,160 x 128,32 Mb,TFT,,,1 Gb qədər,Bəli,microSD,,,,,2.1,MicroUSB,Xeyr,,3000 qədər,2G,Fənər,,Çin,Çin,SmartfonTəlimatAdapter,Qara,Plastik,114.0,75.7,14.3,49,25.9
Nokia,Mobil telefon,Nokia 5310,Monoblok,Mini-SIM,2.4,1 Gb qədər,320 x 240,16 Mb,TN,,1.0,1 Gb qədər,Bəli,microSD,5 Mp qədər,0.3,,Xeyr,3.0,MicroUSB,Xeyr,,3000 qədər,2G,Fənər,2020.0,Vyetnam,,,QaraQırmızı,Plastik,123.7,88.0,13.1,52.4,75.0
Kgtel,Mobil telefon,,Monoblok,,1.77,,,,,MediaTek MT6261D,,,,,,,,,,,Xeyr,Toza davamlı,3000 qədər,2G,,,Çin,Çin,,Qara,Plastik,,,,,29.5
Geecoo,Mobil telefon,,,Nano-SIMMicro-SIM,2.4,1 Gb qədər,320 x 240,,IPS,,1.0,,Bəli,microSD,5 Mp qədər,,,,5.0,,Xeyr,,3000 qədər,2G,Fənər,2019.0,Çin,Çin,,Qızılı,,,,,,79.0
Hope,Mobil telefon,Hope BM310,Monoblok,,,,,,,,,,Bəli,microSD,,,,,,,Xeyr,,3000 qədər,,,,Çin,Çin,Təlimat,Qara,,,,,,39.0
Nokia,Mobil telefon,Nokia 230,Monoblok,Mini-SIM,2.8,1 Gb qədər,320 x 240,32 Mb,TFT,,1.0,1 Gb qədər,Bəli,microSDmicroSD,5 Mp qədər,2,,Xeyr,3.0,MicroUSB,Xeyr,,3000 qədər,2G,Fənər,2015.0,Vyetnam,,,Qara,MetalPlastik,124.6,91.8,10.9,53.4,158.0
Nokia,Mobil telefon,Nokia 215,Monoblok,Nano-SIM,2.4,1 Gb qədər,320 x 240,64 Mb,TN,,1.0,1 Gb qədər,Bəli,microSD,,,,,5.0,MicroUSB,Xeyr,,3000 qədər,2G,Fənər,2020.0,Vyetnam,Finlandiya,SmartfonAdapterZəmanət kartıTəlimat,Firuzəyi,Plastik,124.7,90.0,13.7,51,89.0
SQ,Mobil telefon,SQ SQ7700s,Monoblok,Mini-SIMSIM,2.4,1 Gb qədər,240 x 320,32 Mb,,,,32 Gb,Xeyr,Yoxdur,5 Mp qədər,0.3,,,,,Xeyr,,,,,,Çin,Çin,,Qara,,,,,,58.59
